content,score
"""整个行程安排非常合理，性价比很高！对湘西有了新的认识，张家界和凤凰真的很值得！导游小哥服务热情周到，耐心细致的讲解，可以看得出有很努力的做过很多功课，是见识广又热爱家乡的苗族泡菜！免费升级了一晚别墅，下单的时候碰见6.18秒杀活动，免了一个人费用，很划算！""",0
"""本来打算自助游，但看了网上热评后果断选择了这个团，结果证实是明智之举。周导是地地道道的土家阿哥，热情又负责，在我们游玩休息时刻，同步购买各种门票，一点不耽误我们时间。用最短的时间欣赏到了许多经典景点。同车团友都玩得非常开心，不仅欣赏到了自然风景和人文景观，也品尝了当地特色美食。非常愉快的一次旅行，非常感谢周导的热情服务！""",0
"""行程安排完全符合购买的内容，说实话还是有点累的，但也能理解毕竟天数少去的地方多。景色方面，由于是淡季，再加上天气不好雾太大，感受不是很好很可惜，住宿方面很满意，有机会夏天再来一次。""",0
"""行程安排很合理，会全部安排到位，吃得好，住得好，玩得爽，真心不错，没来玩过的朋友***，玩过得朋友相信以后还会来玩。""",0
'这次出游感觉导游水平很高，行程安排合理,0
1.吕导，吕泡菜为人随和，讲解专业，角度独到，服务周到。特别之点在于，景点的故事结合历史和风水，系统的介绍了大湘西，让人感兴趣。2.虽然是五一，旅游人数众多，但是湖南的美食，美景还是让人不虚此行，不管是长沙还是张家界还是凤凰，每个地方都是美不胜收的。总之这个五一虽然疲惫，但是美景悦目，美食悦己，美丽的湘西值得我再来。,0
1.秋高气爽～身心舒畅，普陀山给我们心灵一片净土，深感安逸2.小王姐姐导游全程陪伴照顾起居饮食，尽心尽责，无微不至,0
123456789给赵导游五星大赞??123456789服务超级棒，超级有爱,0
18年来普陀山许愿，今年和老公一起来还愿，感恩,0
18组，25到27日导游杨美娟一路安排的行程和描述的差不多，在车上讲解，热情周到，没有强制购物消费，一路行程三天全程陪同游客游览，很敬业的态度！不满意:1、往返大交通，国产旅游空调车车内很脏很破，见下图12、住宿，第一晚安排的酒店很不好，太潮湿，团友中有的住宿距离溪布街很近，我们住的锦富很不好，如果住土司客栈的团友团费贵，但是我们看酒店价格低于锦富大酒店，如果团费高，住的酒店价格不如锦富大酒店！见下图2、3、4、53、旅行社有义务告知，住凤凰一晚，临江客栈其实没有意义，因为到凤凰已经晚上很晚了，转天早晨6点起床，6点半早餐，7点出发，临江不临江的房间一点意义都没有，什么都感受不到！觉得被旅行社忽悠了！住临江的房间就是为了在房间看风景，晚上到了一早走了，看什么呢4、凤凰的导游带团就是走马观花，一路不停，在凤凰古城的荷塘街给了一个小时的自由活动，距离凤凰古城中心很远！而且凤凰导游没有带我们去沱江跳岩这个景点，很失望！！！这个荷塘街距离南华山往返一个小时根本回不来，我们最后放弃去南华山了！5、我们预定的时候写的是携程自营的线路，但是上车发现，也是把散客卖到当地拼团！觉得被携程骗了,0
